geo_mun_s,cohort,eng_exp,hrs_exp
07030,1997,0,0
07030,1998,0,0
07030,1999,0,0
07030,2000,0,0
07030,2001,0,0
07030,2002,0,0
07031,1997,0,0
07031,1998,0,0
07031,1999,0,0
07031,2000,0,0
07031,2001,0,0
07031,2002,0,0
07032,1997,0,0
07032,1998,0,0
07032,1999,0,0
07032,2000,0,0
07032,2001,0,0
07032,2002,0,0
07033,1997,0,0
07033,1998,0,0
07033,1999,0,0
07033,2000,0,0
07033,2001,0,0
07033,2002,0,0
07034,1997,0,0
07034,1998,0,0
07034,1999,0,0
07034,2000,0,0
07034,2001,0,0
07034,2002,0,0
07035,1997,0,0
07035,1998,0,0
07035,1999,0,0
07035,2000,0,0
07035,2001,0,0
07035,2002,0,0
07036,1997,.12526812,.25053623
07036,1998,.093951091,.18790218
07036,1999,.075160876,.15032175
07036,2000,.062634058,.12526812
07036,2001,.062634058,.12526812
07036,2002,.062634058,.12526812
07037,1997,0,0
07037,1998,0,0
07037,1999,0,0
07037,2000,0,0
07037,2001,.0063547082,.0010591181
07037,2002,.012254783,.002042464
07038,1997,0,0
07038,1998,0,0
07038,1999,0,0
07038,2000,0,0
07038,2001,0,0
07038,2002,0,0
07039,1997,0,0
07039,1998,0,0
07039,1999,0,0
07039,2000,0,0
07039,2001,0,0
07039,2002,0,0
07040,1997,0,0
07040,1998,0,0
07040,1999,0,0
07040,2000,0,0
07040,2001,0,0
07040,2002,0,0
07041,1997,.0028860029,.00048100049
07041,1998,.0021645022,.00036075036
07041,1999,.0017316018,.00028860028
07041,2000,.0014430014,.00024050025
07041,2001,.003287724,.0020852226
07041,2002,.0018447224,.0018447224
07042,1997,0,0
07042,1998,0,0
07042,1999,0,0
07042,2000,0,0
07042,2001,0,0
07042,2002,0,0
07043,1997,0,0
07043,1998,0,0
07043,1999,0,0
07043,2000,0,0
07043,2001,0,0
07043,2002,0,0
07044,1997,0,0
07044,1998,0,0
07044,1999,0,0
07044,2000,0,0
07044,2001,0,0
07044,2002,0,0
07045,1997,0,0
07045,1998,0,0
07045,1999,0,0
07045,2000,0,0
07045,2001,0,0
07045,2002,0,0
07046,1997,0,0
07046,1998,0,0
07046,1999,0,0
07046,2000,0,0
07046,2001,0,0
07046,2002,0,0
07047,1997,0,0
07047,1998,0,0
07047,1999,0,0
07047,2000,0,0
07047,2001,0,0
07047,2002,0,0
07048,1997,.030816764,.022665272
07048,1998,.030824404,.02342548
07048,1999,.031158557,.024156244
07048,2000,.037500396,.031665135
07048,2001,.038654406,.036894891
07048,2002,.046425037,.044665523
07049,1997,0,0
07049,1998,0,0
07049,1999,0,0
07049,2000,0,0
07049,2001,0,0
07049,2002,0,0
07050,1997,0,0
07050,1998,0,0
07050,1999,0,0
07050,2000,0,0
07050,2001,0,0
07050,2002,0,0
07051,1997,0,0
07051,1998,0,0
07051,1999,0,0
07051,2000,0,0
07051,2001,0,0
07051,2002,0,0
07052,1997,0,0
07052,1998,0,0
07052,1999,0,0
07052,2000,0,0
07052,2001,0,0
07052,2002,0,0
07053,1997,0,0
07053,1998,0,0
07053,1999,0,0
07053,2000,0,0
07053,2001,0,0
07053,2002,0,0
07054,1997,0,0
07054,1998,0,0
07054,1999,0,0
07054,2000,0,0
07054,2001,0,0
07054,2002,0,0
07055,1997,0,0
07055,1998,0,0
07055,1999,0,0
07055,2000,0,0
07055,2001,0,0
07055,2002,0,0
07056,1997,0,0
07056,1998,0,0
07056,1999,0,0
07056,2000,0,0
07056,2001,0,0
07056,2002,0,0
07057,1997,0,0
07057,1998,0,0
07057,1999,0,0
07057,2000,0,0
07057,2001,0,0
07057,2002,0,0
07058,1997,0,0
07058,1998,0,0
07058,1999,0,0
07058,2000,0,0
07058,2001,0,0
07058,2002,0,0
07059,1997,0,0
07059,1998,0,0
07059,1999,0,0
07059,2000,0,0
07059,2001,0,0
07059,2002,0,0
07060,1997,0,0
07060,1998,0,0
07060,1999,0,0
07060,2000,0,0
07060,2001,0,0
07060,2002,0,0
07061,1997,0,0
07061,1998,0,0
07061,1999,0,0
07061,2000,0,0
07061,2001,0,0
07061,2002,0,0
07062,1997,0,0
07062,1998,0,0
07062,1999,0,0
07062,2000,0,0
07062,2001,0,0
07062,2002,0,0
07063,1997,0,0
07063,1998,0,0
07063,1999,0,0
07063,2000,0,0
07063,2001,0,0
07063,2002,0,0
07064,1997,0,0
07064,1998,0,0
07064,1999,0,0
07064,2000,0,0
07064,2001,0,0
07064,2002,0,0
07065,1997,.011966862,.047025774
07065,1998,.017889285,.056960404
07065,1999,.021751791,.06701339
07065,2000,.024391919,.072701022
07065,2001,.029375669,.077675983
07065,2002,.031537637,.082777731
07066,1997,0,0
07066,1998,0,0
07066,1999,0,0
07066,2000,0,0
07066,2001,0,0
07066,2002,0,0
07067,1997,0,0
07067,1998,0,0
07067,1999,0,0
07067,2000,0,0
07067,2001,0,0
07067,2002,0,0
07068,1997,.091481738,.089040793
07068,1998,.089337863,.087193117
07068,1999,.12278207,.12439486
07068,2000,.14745513,.15128674
07068,2001,.17695807,.18822743
07068,2002,.20751637,.18620077
07069,1997,.0089690601,.01793812
07069,1998,.010122783,.020245567
07069,1999,.008098226,.016196452
07069,2000,.0089975176,.017995035
07069,2001,.0089975176,.017995035
07069,2002,.0068790824,.013758165
07070,1997,0,0
07070,1998,0,0
07070,1999,0,0
07070,2000,0,0
07070,2001,0,0
07070,2002,0,0
07071,1997,0,0
07071,1998,0,0
07071,1999,0,0
07071,2000,0,0
07071,2001,0,0
07071,2002,0,0
07072,1997,0,0
07072,1998,0,0
07072,1999,0,0
07072,2000,0,0
07072,2001,0,0
07072,2002,0,0
07073,1997,0,0
07073,1998,0,0
07073,1999,0,0
07073,2000,0,0
07073,2001,0,0
07073,2002,0,0
07074,1997,.090461344,.084129281
07074,1998,.095117174,.090368122
07074,1999,.097351424,.086625785
07074,2000,.099024765,.075171247
07074,2001,.095635124,.068538077
07074,2002,.086682871,.052810755
07075,1997,0,0
07075,1998,0,0
07075,1999,0,0
07075,2000,0,0
07075,2001,0,0
07075,2002,0,0
07076,1997,0,0
07076,1998,0,0
07076,1999,0,0
07076,2000,0,0
07076,2001,0,0
07076,2002,0,0
07077,1997,0,0
07077,1998,0,0
07077,1999,0,0
07077,2000,0,0
07077,2001,0,0
07077,2002,0,0
07078,1997,.021230489,.034671765
07078,1998,.023443228,.044150531
07078,1999,.042725421,.079206936
07078,2000,.044786867,.081522338
07078,2001,.047923665,.094030961
07078,2002,.048574179,.10072254
07079,1997,0,0
07079,1998,0,0
07079,1999,.043805499,.0058407332
07079,2000,.071302347,.039665047
07079,2001,.10570826,.074070953
07079,2002,.13911191,.10747461
07080,1997,0,0
07080,1998,0,0
07080,1999,0,0
07080,2000,0,0
07080,2001,.01399825,.011998501
07080,2002,.027986895,.046970114
07081,1997,0,0
07081,1998,0,0
07081,1999,0,0
07081,2000,0,0
07081,2001,0,0
07081,2002,0,0
07082,1997,0,0
07082,1998,0,0
07082,1999,0,0
07082,2000,0,0
07082,2001,0,0
07082,2002,0,0
07083,1997,0,0
07083,1998,0,0
07083,1999,0,0
07083,2000,0,0
07083,2001,0,0
07083,2002,0,0
07084,1997,0,0
07084,1998,0,0
07084,1999,0,0
07084,2000,0,0
07084,2001,0,0
07084,2002,0,0
07085,1997,0,0
07085,1998,0,0
07085,1999,0,0
07085,2000,0,0
07085,2001,0,0
07085,2002,0,0
07086,1997,0,0
07086,1998,0,0
07086,1999,0,0
07086,2000,0,0
07086,2001,.14473684,.40204677
07086,2002,.28862575,.80173808
07087,1997,0,0
07087,1998,0,0
07087,1999,0,0
07087,2000,0,0
07087,2001,0,0
07087,2002,0,0
07088,1997,0,0
07088,1998,0,0
07088,1999,0,0
07088,2000,0,0
07088,2001,0,0
07088,2002,0,0
07089,1997,.043858536,.151265
07089,1998,.046474949,.15611446
07089,1999,.04944393,.1631754
07089,2000,.054492347,.1619983
07089,2001,.060192045,.1644686
07089,2002,.067575999,.17062229
07090,1997,0,0
07090,1998,0,0
07090,1999,0,0
07090,2000,0,0
07090,2001,0,0
07090,2002,0,0
07091,1997,0,0
07091,1998,0,0
07091,1999,0,0
07091,2000,0,0
07091,2001,0,0
07091,2002,0,0
07092,1997,0,0
07092,1998,0,0
07092,1999,0,0
07092,2000,0,0
07092,2001,0,0
07092,2002,0,0
07093,1997,0,0
07093,1998,0,0
07093,1999,0,0
07093,2000,0,0
07093,2001,0,0
07093,2002,0,0
07094,1997,.0058134333,.21509703
